"type","id","author","editor","advisor","note","title","pages","article_no","num_pages","keywords","doi","journal","issue_date","volume","issue_no","description","month","year","issn","booktitle","acronym","edition","isbn","conf_loc","publisher","publisher_loc"
"article","3174353","Ida  Damen and Rens  Brankaert and Carl  Megens and Pieter  van Wesemael and Aarnout  Brombacher and Steven  Vos","","","","Let's Walk and Talk: A Design Case to Integrate an Active Lifestyle in Daily Office Life","CS10:1--CS10:10","CS10","10","behaviour change, intervention, intervention mapping, living lab, office workers, physical activity, sedentary life style, sitting","10.1145/3170427.3174353","","","","","","","2018","","Extended Abstracts of the 2018 CHI Conference on Human Factors in Computing Systems","CHI EA '18","","978-1-4503-5621-3","Montreal QC, Canada","ACM","New York, NY, USA"
"article","3173848","Yaliang  Chuang and Lin-Lin  Chen and Yoga  Liu","","","","Design Vocabulary for Human--IoT Systems Communication","274:1--274:11","274","11","feedback, intelligibility, internet of things, understanding, vocabulary","10.1145/3173574.3173848","","","","","","","2018","","Proceedings of the 2018 CHI Conference on Human Factors in Computing Systems","CHI '18","","978-1-4503-5620-6","Montreal QC, Canada","ACM","New York, NY, USA"
"article","3170632","Eva  Thelisson and Kshitij  Sharma and Hanan  Salam and Virginia  Dignum","","","","The General Data Protection Regulation: An Opportunity for the HCI Community?","W36:1--W36:8","W36","8","codes of conduct, design, labeling, privacy, quality standards, responsible innovation, soft law","10.1145/3170427.3170632","","","","","","","2018","","Extended Abstracts of the 2018 CHI Conference on Human Factors in Computing Systems","CHI EA '18","","978-1-4503-5621-3","Montreal QC, Canada","ACM","New York, NY, USA"
"article","3170630","Kristina  Andersen and Laura  Devendorf and James  Pierce and Ron  Wakkary and Daniela K. Rosner","","","","Disruptive Improvisations: Making Use of Non-Deterministic Art Practices in HCI","W11:1--W11:8","W11","8","art-inspired prototyping, constraint, designerly improvisation, disruption, fluxus, non-determinism, undiscovery, uselessness","10.1145/3170427.3170630","","","","","","","2018","","Extended Abstracts of the 2018 CHI Conference on Human Factors in Computing Systems","CHI EA '18","","978-1-4503-5621-3","Montreal QC, Canada","ACM","New York, NY, USA"
"article","3173739","David  Goedicke and Jamy  Li and Vanessa  Evers and Wendy  Ju","","","","VR-OOM: Virtual Reality On-rOad Driving siMulation","165:1--165:11","165","11","autonomous vehicles, design evaluation, prototyping, virtual reality","10.1145/3173574.3173739","","","","","","","2018","","Proceedings of the 2018 CHI Conference on Human Factors in Computing Systems","CHI '18","","978-1-4503-5620-6","Montreal QC, Canada","ACM","New York, NY, USA"
"article","3174369","Troy Robert Nachtigall and Oscar  Tomico and Ron  Wakkary and Stephan  Wensveen and Pauline  van Dongen and Leonie  Tentoff van Norten","","","","Towards Ultra Personalized 4D Printed Shoes","CS20:1--CS20:9","CS20","9","4d printing, footwear design, research through design, flexible material, design software, ultra personalization","10.1145/3170427.3174369","","","","","","","2018","","Extended Abstracts of the 2018 CHI Conference on Human Factors in Computing Systems","CHI EA '18","","978-1-4503-5621-3","Montreal QC, Canada","ACM","New York, NY, USA"
"article","3170611","Zhiyong  Fu and Jun  Hu and Haipeng  Mi and Xing-Dong  Yang","","","","Chinese CHI 2018 Workshop","W06:1--W06:5","W06","5","chinese hci, icachi","10.1145/3170427.3170611","","","","","","","2018","","Extended Abstracts of the 2018 CHI Conference on Human Factors in Computing Systems","CHI EA '18","","978-1-4503-5621-3","Montreal QC, Canada","ACM","New York, NY, USA"
"article","3173651","William  Odom and Ron  Wakkary and Ishac  Bertran and Matthew  Harkness and Garnet  Hertz and Jeroen  Hol and Henry  Lin and Bram  Naus and Perry  Tan and Pepijn  Verburg","","","","Attending to Slowness and Temporality with Olly and Slow Game: A Design Inquiry Into Supporting Longer-Term Relations with Everyday Computational Objects","77:1--77:13","77","13","research through design, slow technology, temporality","10.1145/3173574.3173651","","","","","","","2018","","Proceedings of the 2018 CHI Conference on Human Factors in Computing Systems","CHI '18","","978-1-4503-5620-6","Montreal QC, Canada","ACM","New York, NY, USA"
"article","3188634","Anna  Barenbrock and Marc  Herrlich and Kathrin Maria Gerling and Jan David Smeddinck and Rainer  Malaka","","","","Varying Avatar Weight to Increase Player Motivation: Challenges of a Gaming Setup","LBW066:1--LBW066:6","LBW066","6","avatar appearance, body weight, exergames, game design, physical exercises, player motivation","10.1145/3170427.3188634","","","","","","","2018","","Extended Abstracts of the 2018 CHI Conference on Human Factors in Computing Systems","CHI EA '18","","978-1-4503-5621-3","Montreal QC, Canada","ACM","New York, NY, USA"
"article","3170606","Florian  M&#252;ller and Dirk  Schnelle-Walka and Tobias  Grosse-Puppendahl and Sebastian  G&#252;nther and Markus  Funk and Kris  Luyten and Oliver  Brdiczka and Niloofar  Dezfuli and Max  M&#252;hlh&#228;user","","","","SmartObjects: Sixth Workshop on Interacting with Smart Objects","W20:1--W20:6","W20","6","context-awareness, embodied interaction, enabling techologies, hci, multimodal and adapter interaction, novel interaction, smart objects, tangible interaction","10.1145/3170427.3170606","","","","","","","2018","","Extended Abstracts of the 2018 CHI Conference on Human Factors in Computing Systems","CHI EA '18","","978-1-4503-5621-3","Montreal QC, Canada","ACM","New York, NY, USA"
